,1a. open (SAR),1b. open (USD),2a. high (SAR),2b. high (USD),3a. low (SAR),3b. low (USD),4a. close (SAR),4b. close (USD),5. volume,6. market cap (USD)
2020-09-23,39490.24934400,10529.61000000,39518.52736000,10537.15000000,38017.12972800,10136.82000000,38409.57158400,10241.46000000,51876.56807900,51876.56807900
2020-09-22,39068.74188800,10417.22000000,39651.89158400,10572.71000000,38827.89120000,10353.00000000,39490.24934400,10529.61000000,43991.23547600,43991.23547600
2020-09-21,40955.41811200,10920.28000000,41212.62054400,10988.86000000,38615.43104000,10296.35000000,39068.74188800,10417.22000000,70683.43117900,70683.43117900
2020-09-20,41556.83225600,11080.64000000,41556.83225600,11080.64000000,40215.53920000,10723.00000000,40955.41811200,10920.28000000,39157.92256500,39157.92256500
2020-09-19,41004.62336000,10933.40000000,41928.68441600,11179.79000000,40831.99244800,10887.37000000,41556.86976000,11080.65000000,38440.03685800,38440.03685800
2020-09-18,41029.37600000,10940.00000000,41397.02771200,11038.03000000,40552.47513600,10812.84000000,41004.58585600,10933.39000000,47266.72827500,47266.72827500
2020-09-17,41081.91910400,10954.01000000,41424.89318400,11045.46000000,40301.16083200,10745.83000000,41029.33849600,10939.99000000,55601.61452900,55601.61452900
2020-09-16,40448.92659200,10785.23000000,41603.18720000,11093.00000000,39983.83948800,10661.22000000,41081.91910400,10954.01000000,64991.51244000,64991.51244000
2020-09-15,40023.40620800,10671.77000000,40992.02201600,10930.04000000,39778.54259200,10606.48000000,40449.22662400,10785.31000000,61822.45278600,61822.45278600
2020-09-14,38752.28313600,10332.84000000,40316.80000000,10750.00000000,38300.35993600,10212.34000000,40023.40620800,10671.77000000,67059.29136100,67059.29136100
2020-09-13,39156.68876800,10440.67000000,39679.64454400,10580.11000000,38254.08000000,10200.00000000,38752.24563200,10332.83000000,43837.60986500,43837.60986500
2020-09-12,38958.74265600,10387.89000000,39296.57868800,10477.97000000,38513.79520000,10269.25000000,39157.62636800,10440.92000000,35379.15309600,35379.15309600
2020-09-11,38767.35974400,10336.86000000,38995.15904000,10397.60000000,38254.08000000,10200.00000000,38958.74265600,10387.89000000,43830.25446700,43830.25446700
2020-09-10,38326.42521600,10219.29000000,39316.75584000,10483.35000000,37769.64083200,10070.83000000,38767.39724800,10336.87000000,58253.75375000,58253.75375000
2020-09-09,37979.02566400,10126.66000000,38790.38720000,10343.00000000,37432.77990400,9981.01000000,38326.08768000,10219.20000000,49347.11377600,49347.11377600
2020-09-08,38904.58688000,10373.45000000,39146.67520000,10438.00000000,36941.44000000,9850.00000000,37978.98816000,10126.65000000,73491.87841800,73491.87841800
2020-09-07,38463.68985600,10255.89000000,39044.47680000,10410.75000000,37035.20000000,9875.00000000,38904.54937600,10373.44000000,62620.23067600,62620.23067600
2020-09-06,38129.15417600,10166.69000000,38805.91385600,10347.14000000,37484.72294400,9994.86000000,38464.85248000,10256.20000000,56368.78881500,56368.78881500
2020-09-05,39177.61600000,10446.25000000,39625.52627200,10565.68000000,36847.68000000,9825.00000000,38129.15417600,10166.69000000,90001.60556800,90001.60556800
2020-09-04,38022.64281600,10138.29000000,39855.68832000,10627.05000000,37037.07520000,9875.50000000,39177.61600000,10446.25000000,92733.59911300,92733.59911300
2020-09-03,42711.58041600,11388.54000000,42989.33504000,11462.60000000,37356.98432000,9960.80000000,38032.24384000,10140.85000000,121950.10601500,121950.10601500
2020-09-02,44712.15628800,11921.97000000,44834.41932800,11954.57000000,41854.83904000,11160.10000000,42711.58041600,11388.54000000,87221.84560200,87221.84560200
2020-09-01,43690.32230400,11649.51000000,45195.50784000,12050.85000000,43185.85600000,11515.00000000,44712.15628800,11921.97000000,78148.19366800,78148.19366800
2020-08-31,43921.57196800,11711.17000000,44257.60780800,11800.77000000,43392.12800000,11570.00000000,43690.32230400,11649.51000000,55353.61774400,55353.61774400
2020-08-30,43001.48633600,11465.84000000,43950.93760000,11719.00000000,42972.08320000,11458.00000000,43921.53446400,11711.16000000,43177.87905400,43177.87905400
2020-08-29,43230.48576000,11526.90000000,43429.70700800,11580.02000000,42818.46681600,11417.04000000,43001.48633600,11465.84000000,32973.79920000,32973.79920000
2020-08-28,42493.45715200,11330.38000000,43289.55456000,11542.65000000,42292.84825600,11276.89000000,43230.52326400,11526.91000000,45953.90836500,45953.90836500
2020-08-27,42984.90956800,11461.42000000,43475.38688000,11592.20000000,41723.20000000,11125.00000000,42493.45715200,11330.38000000,63246.03638300,63246.03638300
2020-08-26,42448.60236800,11318.42000000,43277.06572800,11539.32000000,42169.49760000,11244.00000000,42984.94707200,11461.43000000,53998.23123100,53998.23123100
2020-08-25,44060.41177600,11748.19000000,44134.14464000,11767.85000000,41695.59705600,11117.64000000,42448.60236800,11318.42000000,69590.92327200,69590.92327200
2020-08-24,43685.10924800,11648.12000000,44348.10496000,11824.90000000,43448.72153600,11585.09000000,44060.44928000,11748.20000000,46212.39186700,46212.39186700
2020-08-23,43742.82790400,11663.51000000,43947.44972800,11718.07000000,43182.59315200,11514.13000000,43685.14675200,11648.13000000,37900.00469000,37900.00469000
2020-08-22,43246.72499200,11531.23000000,43827.17440000,11686.00000000,42667.58822400,11376.81000000,43740.76518400,11662.96000000,43678.70164600,43678.70164600
2020-08-21,44455.51641600,11853.54000000,44547.25120000,11878.00000000,43076.38182400,11485.81000000,43247.13753600,11531.34000000,64448.30614200,64448.30614200
2020-08-20,44083.62675200,11754.38000000,44584.75520000,11888.00000000,43759.66720000,11668.00000000,44455.55392000,11853.55000000,46085.25435100,46085.25435100
